year,volume,issue,page,name1,middlename1,surname1,name2,middlename2,surname2,name3,middlename3,surname3,name4,middlename4,surname4,title,abstract,subfield
1970,7,3,341-348,Griffith,M.,Feeney,,,,,,,,,,Stable Age by Region Distributions,"If the pattern of fertility, mortality and interregional migration exhibited by the United States population during 1950-60 were to continue in the future, the proportions of persons in the various age groups and regions would fluctuate from decade to decade. These fluctuations would become less marked with time, however, and eventually all the proportions would stabilize at certain fixed values. This collection of values may be called a stable age by region composition corresponding to the given schedule of fertility, mortality and migration. The same phenomenon may be observed when individuals move between socioeconomic categories as, for example, socioeconomic status or educational attainment levels. The substantial differences between these various situations conceal remarkable similarities. In each case the continued operation of schedules of fertility, mortality and mobility between categories may result in a stable composition. The purpose of this paper is to shed some light on the nature of these stable compositions, on the interrelation between their various components, and on their relation to the patterns of fertility, mortality and mobility which generate them.",6
1970,7,3,273-286,Murray,,Gendell,Maria,Nydia,Maraviglia,Philip,C.,Kreitner,,,,"Fertility and Economic Activity of Women in Guatemala City, 1964","Data from a five percent census sample reveal that in Guatemala City in 1964 economically active women, especially domestic servants, had lower cumulative fertility than inactive women, partly because larger proportions of them had never married and were childless. However, even among ever married mothers there was a substantial differential, which was not due to differences in age at first birth. With respect to all women, cross tabulation and regression analysis show that age, marital status and educational attainment were more strongly associated with fertility than was activity status, but the latter also had a significant net association. Selection for sterility was not likely. Being contrary to expectations expressed in the literature, the very low fertility of the domestics received further attention. Live-in domestics had considerably lower fertility than those who lived out, which was also the case in the United States in 1960. These data and other evidence strongly suggest that this differential is due to a widespread employer preference for single or childless women. The concept of role incompatibility is therefore inapplicable to domestic servants. These findings add to the considerable evidence showing lower fertility among economically active women in large urban places in Latin America.",1
1970,7,1,43-51,Susan,O.,Gustavus,Charles,B.,Nam,,,,,,,The Formation and Stability of Ideal Family Size Among Young People,"A sample of 1,123 sixth, ninth, and twelfth graders in two Southern counties was questioned to ascertain how many children they think is ideal. More than three-fourths of the students in each grade had given thought to an ideal number of children for themselves; fewer had thought about the ideal number for the average American couple. Two and three children were the modal responses; mean ideal sizes were 3.02 for self and 3.16 for the average couple. The range of acceptable fertility behavior, ""too few"" or ""too many"" children, is defined by medians of 1.56 and 5.96. Ideal and acceptable family sizes increase slightly in the higher grades. A sex difference in ideals appeared only at grade 12; girls wanted more children. Negroes wanted fewer children than did whites at grade 6, more at grade 12. Size of family of orientation was directly related to ideals at grades 6 and 9, but the relation was curvilinear at grade 12. The direct relation between ideals and socioeconomic status became more pronounced at grade 12. Ideal sizes were larger for Catholics than for other religious groups. The study lends at least minimal support to the notion that early socialization affects ideas about family size.",1
1970,7,4,467-482,Donald,W.,Helbig,Habib,R.,Siddiqui,Samuel,B.,Hopkins,Paul,A.,Harper,IUD Retention in West Pakistan and Methodology of Assessment,"In 1967 there was a sample survey of women who had had IUD insertions in West Pakistan during the first 18 months of the Pakistan National Family Planning Program which began in July, 1965. The 12 month retention rate, including reinsertions, per 100 respondents was 56. Certain gross relationships between respondent characteristics and IUD retention were found. Respondents age 35+ and with 5+ living children and respondents who had insertions within two months postpartum had relatively high retention rates. Respondent characteristics associated with low retention rates included: age 35+ with 0-4 living children; reasons other than family planning reported as reasons for insertion; less than one-half hour travel time required to obtain insertion; not informed at time of insertion about side-effects of IUD; and insertion during last six months of 1966. Consistency of response was evaluated by reinterviewing a sample of respondents. The significance of the 43 percent non-response rate was evaluated by making further attempts to interview a sample of non-respondents.",1
1970,7,3,361-368,John,C.,Hudson,,,,,,,,,,Elementary Models for Population Growth and Distribution Analysis,"A version of the Lotka-Volterra interaction model is adapted to describe population growth and migration processes in a two-region system. The regions are identified as a metropolis and its non-metropolitan hinterland. Several conditions on growth and migration regimes are imposed. The time behavior of the systems are analyzed, noting especially situations where total depopulation or population explosion eventually occur in one or both populations. Neither growth control nor migration control alone results in a condition of long-run stability in both regions. If at least a momentary condition of zero growth is achieved in both regions, it is possible to maintain finite populations if each population follows a logistic natural growth process and migration flow is proportional to the volume of interaction. It is necessary also that the natural increase limitation is strong relative to migration rates. This result holds even if one population has a net migration advantage over the other.",6
1970,7,4,393-399,Hannes,,Hyrenius,Jan,,Quist,,,,,,,Life Table Technique for the Working Ages,"Some results of efforts to design an integrated formula system for age-specific death rates, survivals and expectation of life are presented. The report deals only with the active ages 15-80. The system is based on the assumption that the age-specific central mortality rate (mx) can be expressed satisfactorily by means of a polynomial $m = a_0 + a_1x + a_2x^2 +...$ .",2
1970,7,2,255-271,Anrudh,K.,Jain,T.,C.,Hsu,Ronald,,Freedman,M.,C.,Chang,Demographic Aspects of Lactation and Postpartum Amenorrhea,"Interrelations between lactation and post-partum amenorrhea are studied from the reports of about 5,000 married women included in a 1966 Follow-up Survey of Acceptors of an Intrauterine Device (IUD) in Taiwan. The length of post-partum amenorrhea and of breastfeeding are positively associated. On an average, breastfeeding delayed the resumption of menstruation by about 7 months. The association between lactation and amenorrhea is not accounted for by differences in mother's age, parity, education and her place of residence. A multiple regression analysis suggests that (1) age affects amenorrhea both directly and through lactation, (2) parity has no independent effect on either lactation or amenorrhea, and (3) education and place of residence affect amenorrhea mainly through the cultural variations in the practice of breastfeeding.",1
1970,7,1,18-Jan,David,L.,Kaplan,,,,,,,,,,Plans for the 1970 Census of Population and Housing,"The Nineteenth Decennial Census of the United States, covering both population and housing, will be conducted as of April 1, 1970. Planning, testing, and preparatory activities have been underway since early in the decade. Extensive discussions with users of census data led to relatively minor changes in subject content as compared to 1960, but a major increase in the amount of statistics to be tabulated, especially for small geographic areas. For about 60 to 65 percent of the population, the information will be collected through a new mail-out/mail-back system. The rest of the country will be covered by house-to-house canvass. Special efforts to alleviate the serious problem of underenumeration are being undertaken, particularly in the hard-to-enumerate portions of the big cities. The geographic program includes an ""address coding guide"" through which location identification in most urban areas can be made to specific side of block; this will permit tabulations for new types of small areas. Processing of the data will be performed with the Census Bureau's Fosdic equipment and advanced computers. Dissemination of the census results will be in the traditional type of printed reports but also, in substantially greater subject and area detail, through magnetic tape, special printouts, etc. To help users exploit the potentialities of the latter material, the Bureau has instituted a ""data access"" informational program. As in previous censuses, there will be a number of studies to evaluate the 1970 procedures and results.",5
1970,7,2,241-253,Robert,J.,Lapham,,,,,,,,,,Family Planning and Fertility in Tunisia,"The crude birth rate for the Tunisian population in 1967-68 is estimated to be about ten percent lower than in 1961-65 although the rates are subject to a wide margin of error. Unless the birth registration system is becoming steadily worse or unless the Tunisian population has been decreasing in size, however, the birth rate has fallen; births registered in 1967 or in 1968 were fewer in number than births registered in 1964, 1965, or 1966. The downturn in the crude birth rate occurred shortly after an official national family planning program was inaugurated. Estimates of birth averted by contraceptive use, however, suggest that only about one-third of the decrease in the rate could be attributed to accomplishments of the program. Occurring at the same time were changes in the age structure which led to smaller numbers of women in the peak reproductive ages and changes in the social status of women which included a sharp reduction in the proportion married in the age group 15-19.",1
1970,7,2,135-149,Larry,H.,Long,,,,,,,,,,Fertility Patterns Among Religious Groups in Canada,"The U shape that has been traced out by the crude birth rate in the United States and Canada is well known. Falling birth rates reached a low point in the mid-1930's; the rate rose to a peak in 1947 and remained high through the 1950's. In terms of cohorts, completed family size was smallest for women born around 1910, whose childbearing was concentrated in the 1930's. With data from the 1961 census of Canada, trends in cohort marital fertility by religion are examined. The U pattern appears for both Protestants and Jews. For Catholics, a reversal in the downward trend of family size had not appeared by 1961, although the U pattern can be discerned for some subgroups such as Catholics living in big cities and persons of Irish ancestry. In the United States, however, changes in family size for all three religious groups and both whites and nonwhites follow the U pattern. Religious differentials in family size in Canada have been decreasing, but they remain much larger than either religious or color differentials in the United States, which show no decrease. The distinctive features of Catholic fertility in Canada are most pronounced among the regionally-concentrated French Canadians, suggesting an interplay of religious, regional, and ethnic influences.",1
1970,7,3,349-360,H.,,Majumdar,Mindel,C.,Sheps,,,,,,,Estimators of a Type I Geometric Distribution from Observations on Conception Times,"In order to study distributions of fecundability, Potter and Parker fitted a Pearson Type I geometric distribution (with parameters a and b) to data from the Princeton Fertility Study. They, and subsequently other authors, estimated a and b from the observed moments of the month of first conception. A critical analysis of this method has shown that moment estimators of a and b are moderately reliable only within a specified range of values of a. Outside this range, either the estimators are extremely inefficient or their variances are not defined at all. Caution should therefore be taken in adopting this procedure. Furthermore, no moment estimate is defined when a is less than 2. It seems preferable to derive maximum likelihood estimates which have certain optimal properties and are defined for all permissible (i.e. positive) values of a and b. For large samples, we here present: the covariance matrix (where defined) of the moment estimators, methods of obtaining maximum likelihood estimates and their covariance matrix, and the variances of estimates of specified moments of the fecundability of the sample. Results were obtained for three sets of data; in all cases, the maximum likelihood estimates fit the data better than do the moment estimates. Despite a substantial improvement, however, the fit is still poor for the two sets of data from the Princeton Fertility Study. Possible explanations are: a) that the departures from the assumption of constant fecundability for each couple are sufficient to produce the poor fit, b) that the data are inaccurate, or c) that the method of defining the sample of women from whom the data were obtained resulted in an over-representation of short conception times. The relative importance of these factors is difficult to establish.",1
1970,7,3,301-315,Jay,R.,Mandle,,,,,,,,,,"The Decline in Mortality in British Guiana, 1911-1960","In this paper an attempt is made to describe the pattern of declining mortality in British Guiana between 1911 and 1960. Specifically we identify the disease-specific mortality rates whose declines contributed most to the overall improvement, we consider the possibility that changing economic circumstances may have contributed to the decline in mortality, and we survey the improvements in public health facilities which occurred during the period. Broadly our conclusion is that improvements in public health facilities and not economic advances were responsible for the dramatic decline in mortality which was experienced. Before 1940 these advances took the form of improvements in the quality of the country's water supplies, in methods of disposing of waste, and in medical facilities especially on the colony's sugar estates. In addition, there was an advance in the dissemination of information with respect to pre- and post-natal care. In the postwar period British Guiana's famous D.D.T. experiment was the most important reason death rates continued to fall.",2
1970,7,4,411-415,David,D.,McFarland,,,,,,,,,,Effects of Group Size on the Availability of Marriage Partners,"Formulae are derived for the extent to which the size of the group from which marriage partners are chosen affects the availability of marriage partners, under monogamy and endogamy, when group membership and appropriate sex are the only criteria for eligibility, and when males and females are equally likely to become group members. The expected proportion of group members unable to find eligible partners under these conditions decreases monotonically as group size increases, approaching a limit of zero as the group size becomes large, but becomes substantial for small groups. These results give minimal estimates of the effects of group size: the introduction of additional constraints--incest taboos, requirements that couples have similar age or social status, etc.--could only increase the proportion unable to find acceptable partners. Possible extensions to more complex marriage models are discussed.",1
1970,7,3,287-299,Thomas,P.,Monahan,,,,,,,,,,Interracial Marriage: Data for Philadelphia and Pennsylvania,"Our knowledge of interracial marriage in the United States is fragmentary, inadequate and fraught with contradictions. A major methodological finding of this study, discovered by a comparison of statistical records for Philadelphia (1960-1962 and 1965-1966) with marriage license applications, is that there has been a 32 percent error in reporting mixed race cases. The full significance of this as regards existing data can only be conjectured at present. In Pennsylvania, it would seem, areas of high concentration of nonwhites show the lowest intermarriage rates. In the state, excluding Philadelphia, about 3 out of 4 mixed marriages involve nonwhite males; in Philadelphia, the figure is 52 percent. To some extent nonresidents seem to be attracted to Philadelphia for their intermarriages; but, on the other hand, a considerable number of the 84 percent who are residents declare to having the same address. As measured by the interval from application to performance of the ceremony, they do not marry in haste, nor do they show a strong urge to use their license elsewhere in the state. There is no remarkable age disparity for these couples. They do marry somewhat later--about 2 years later for those who are entering upon their first (primary) marriage; and a large proportion of the couples show a prior divorce experience. These data for Philadelphia and Pennsylvania disclose a tendency, noticed also in other studies, for the rate of such marriages to increase, so that now about 2 percent of Philadelphia and nearly 5 percent of Pennsylvania non-whites are marrying interracially.",1
1970,7,2,169-173,James,N.,Morgan,Ismail,,Sirageldin,,,,,,,Two Measures of Geographic Location and Their Relation to Income,"Two different ways of categorizing people's geographical location are compared as to their relation to earned incomes of family heads, after adjustment for education, age, sex and race. One, the traditional code, uses the size of the city in which the family lives. The other, originally suggested by Bernard Lazerwitz, focuses on the distance to, and the size of, the central city of the nearest standard metropolitan statistical area. Both appear useful, and their joint effects are examined.",5
1970,7,2,155-167,N.,Krishnan,Namboodiri,,,,,,,,,,A Method for Comparative Analysis of Fertility Dynamics Represented by Sequences of Fertility Schedules,"A method to compare fertility sequences, each of which represents a cyclical fluctuation around an underlying trend, is presented. Each fertility sequence is viewed as composed of a time trend in childspacing pattern and a corresponding trend in terminal fertility rate. The procedure involved in comparing each component of one fertility sequence with the corresponding component of another is described and illustrated. Using hypothetical data it is shown, among other things, that if A and B are two cyclical fluctuations in fertility such that (i) the cycles in both are of the same length, (ii) the terminal fertility components of the two are identical, and (iii) the trend in the mean age at childbirth associated with A is higher than the corresponding trend associated with B, then, replacing B with A need not necessarily result in lowering the long-run rates of increase in the birth sequence.",5
1970,7,2,151-154,J.,H.,Pollard,,,,,,,,,,A Taylor Series Expansion for Lotka's r,"A. J. Lotka and F. R. Sharpe published their classical deterministic population model in 1911, and since that date, numerous numerical methods have been suggested for solving the integral equation inherent in the model. We consider the familiar integral equation (Equation (1)) and derive a Taylor series for r0, the unique real solution. The series is no more advantageous from the calculation point of view than many previous solutions, but it may be useful in a theoretical context. The effects on the intrinsic rate of increase of the population due to changes in the cumulants of the net maternity function are readily discernible.",5
1970,7,4,417-432,Samuel,H.,Preston,,,,,,,,,,Empirical Analysis of the Contribution of Age Composition to Population Growth,"The method of decomposition is applied to rates of natural increase in order to elucidate the role played by age composition in the growth of populations. A population's age distribution and fertility schedule are contrasted to those in a ""stationary"" population having the same mortality rates and having a fertility schedule equal to that of the observed population divided by its net reproduction rate. In this manner it is shown that about one-quarter to one-third of the growth of most current high-growth populations can be attributed to non-stationarity of their age distributions. This fraction will rise, as it has in most industrialized countries, if fertility is reduced and age distributions become middle-heavy. In projections of the 1963 Venezuelan female population with fertility rates declining by 2% and 1% annually, more than half of the growth (in numbers) that occurs prior to zero-growth attainment is contributed by non-stationarity of its intervening age distributions.",6
1970,7,1,87-91,Donald,E.,Pursell,,,,,,,,,,Improving Population Estimates With the Use of Dummy Variables,"The ratio correlation method of estimating county population may be improved with the use of dummy variables and stratification to represent county ""type."" Unsatisfactory results were derived when the ratio correlation technique was applied to West Virginia counties using only such conventional symptomatic indicators as births, deaths, non-agricultural employment, and automobile registrations, probably due to the relatively unique absolute population decrease 1950-1960 that occurred in many counties. To improve the predictive power of the technique: counties were stratified along the lines recently suggested by Rosenberg; dummy variables were introduced to represent such county characteristics as region or rate of development; and stratification and dummy variables were combined in a single test. The average 1960 estimating error for the 55 counties was reduced from 4.6 to 2.3 percent when dummy variables and stratification were used to supplement the conventional indicators.",5
1970,7,2,211-234,Harry,M.,Raulet,,,,,,,,,,Family Planning and Population Control in Developing Countries,"This essay aims at a critical analysis of the major assumptions of the family planning movement and their implications for population and development policy in the less developed countries. A neo-Malthusian perspective, in which a reduction of the current high rates of population growth is considered to be a necessary condition for economic development in the less developed countries, is dominant among professionals in family planning. Population control has come to be regarded as a kind of ""leading sector"" in the development process. The position taken in this paper is that the contention that fertility reduction is crucial to short term economic development is not substantiated empirically and represents a distorted view of the economic development process. Nor is there good evidence that demographic modernization can move far ahead of other aspects of modernization. Skepticism about the success of family planning tends to lead to advocacy of alternative methods of population control which are generally beyond the economic, administrative, and political capacities of the less developed countries and are sometimes repressive in tone. The family planning movement, in overstressing the independent contributions of fertility reduction programs, has tended to underplay conditions such as improved health, lowered mortality, and altered opportunity structure which make these contributions possible at all.",6
1970,7,1,71-85,Allan,,Schnaiberg,,,,,,,,,,"Rural-Urban Residence and Modernism: A Study of Ankara Province, Turkey","Data from the Ankara Family Study, in which 1138 married women living in Ankara city and four selected villages in Ankara Province were interviewed in 1965-66, are used to study the impact of the amount and timing of urban residential experience on six dimensions of modernism in attitudes and behavior. Scores on the modernism indexes consistently are higher for the women with urban residential experience. The proportions of variance in the study population accounted for by the urbanism factor are: nearly three-fifths on the mass media index; nearly two-fifths on the nuclear family role structure index; three-tenths on the home production or consumption index; two-tenths on the religiosity and extra-local orientation indexes; and a seventh on the extended family ties index. The place of residence prior to marriage, the period when decisions about schooling are made and socialization into adult roles occurs, appears to be of special importance. Women who migrated from villages to the city at any stage of the life-cycle, however, report attitudes and behavior more modern than those of women with no urban residential experience (though less modern than those of women who have always lived in a city). Such micro-social analyses may help to illuminate the relation between urbanization and modernization in developing nations and to account for the coexistence of modern and traditional patterns in transitional societies.",4
1970,7,3,317-324,Robert,,Schoen,,,,,,,,,,The Geometric Mean of the Age-Specific Death Rates as a Summary Index of Mortality,"Even though a single summary index of mortality can never replace the set of age-specific death rates, it has been found to be extremely useful for a wide variety of purposes. Such indexes are generally one of two types: aggregative indexes, such as directly standardized rates which reflect absolute differences between corresponding age-specific mortality rates; and average of relatives indexes which reflect proportional differences between those rates. The choice of index depends upon the purposes for which it is to be used, and is important as different indexes can produce very different results. While directly standardized rates are widely used, they depend upon the selection of an appropriate standard population and give disproportionately heavy weight to the high ages. Average of relatives indexes give equal weight to all ages, but are infrequently used as no index of that type has gained wide acceptability. This paper recommends the use of the geometric mean of the age-specific mortality rates as such an index, and shows that this index is readily calculable, unbiased, needs no standard population, is directly comparable to all other indexes so calculated, and accurately reflects exponential mortality patterns.",2
1970,7,3,369-378,Julian,L.,Simon,,,,,,,,,,The Per-Capita-Income Criterion and Natality Policies in Poor Countries,"Discussions of birth rates in less developed countries (LDC's) are almost always couched in terms of income per-capita or per-consumer-equivalent. A decrease in population growth rate is said to lead to a higher per-capita income (PCI) than would occur with a higher birth rate, and therefore a lower birth rate is advocated. This runs the danger of choosing a course of action that people really do not want. A static analysis of a PCI criterion leads to an optimum which is quite unacceptable. One can raise the PCI of any given group by getting rid of all small sub-groups that have a lower PCI. Static analysis is not directly relevant to those problems of LDC's, because the relevant control variable is the birth rate. This paper explores some of the ramifications of different birth rates. The general conclusion is that per-capita income alone cannot be a satisfactory criterion for a rational national natality policy. At best it can be but one factor to be taken into consideration in such a policy decision.",1
1970,7,4,449-458,Alden,,Speare,,,,,,,,,,"Home Ownership, Life Cycle Stage, and Residential Mobility","Previous research has shown that mobility rates decline with increasing age and duration of residence. These relationships are investigated further for the case of residential mobility using residence histories obtained in interviews with 2264 Rhode Island residents. Three methods of classifying segments of a person's life into life cycle stages are compared: age, life cycle stages based on marital status and child-rearing periods, and a combined age-marital status classification. These classifications were not found to be equivalent in that there was considerable variation in mobility rates by life cycle stage within age categories and by age within life cycle categories. The age-marital status classification was selected for use in the remainder of the analysis because it had the least variation in mobility rates within categories and required far less data for computation than the life cycle stages. When mobility rates were examined by home ownership, age-marital status, and duration of previous residence, it was observed that there was little variation in mobility rates by duration for home owners while the mobility rates for renters declined with duration.",3
1970,7,4,401-410,K.,,Srinivasan,,,,,,,,,,Findings and Implications of a Correlation Analysis of the Closed and the Open Birth Intervals,"A correlation analysis of data on four fertility variables viz. closed birth interval, open birth interval, age and parity, collected in a survey of about 2,000 married women in the reproductive ages in rural India, is carried out in order to study the interrelationships among these variables. Two hypotheses are formulated governing the relationship of the closed and open birth intervals with the fecundability distribution of fertile women, and Parity Progression Ratios which are largely influenced by the proportion of women becoming sterile after each parity. The data lend support to the hypothesis that while the closed intervals are influenced mainly by the distribution of fecundability of women of non-zero fecundability, the open birth intervals are influenced mainly by Parity Progression Ratios or the proportion of women becoming secondarily sterile after each parity. The analysis suggests that we can use the mean open intervals of women classified by parity as indices of fertility, and such an index is comparable to the index of average age of women of given parity. In areas where it is difficult to ascertain the correct age of women this might be of practical value.",1
